医師コード,氏名,KOL,論文執筆数,年齢,性別,専門医かどうか,施設タイプ,該当施設におけるA社全製品の売上: 直近1年間,MR訪問回数: 直近3ヶ月,MR電話回数: 直近3ヶ月,MRビデオ会議回数: 直近3ヶ月,webセミナー channelA 参加回数: 直近3ヶ月,webセミナー channelB 参加回数: 直近3ヶ月,webセミナー channelC 参加回数: 直近3ヶ月,製品説明会への参加,eDTL channelA アクセス数: 直近3ヶ月,eDTL channelB アクセス数: 直近3ヶ月,eDTL channelC アクセス数: 直近3ヶ月,eDTL channelC 開封数: 直近3ヶ月,自社医療関係者向けサイト 資料ダウンロード: 直近3ヶ月,自社医療関係者向けサイト メルマガクリック数: 直近3ヶ月,営業エリアでの過去の導入施設数: 直近1ヶ月,処方したかどうか
1,中村 一郎,1.0,0.0,42,女,専門医ではない,HP,2000,5.0,10.0,4.0,1.0,0.0,1.0,0.0,1,0,0,2.0,no,2,2,0
2,高橋 結衣,0.0,0.0,53,男,専門医ではない,GP,1400,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1,0,2,10.0,no,2,5,0
3,佐藤 一郎,0.0,1.0,29,男,専門医,GP&HP,1600,3.0,11.0,6.0,0.0,1.0,1.0,1.0,0,3,1,3.0,no,1,3,0
4,高橋 花子,0.0,0.0,52,女,専門医,GP&HP,1300,4.0,20.0,34.0,0.0,0.0,0.0,0.0,0,0,0,10.0,no,3,1,0
5,加藤 美咲,0.0,1.0,45,女,専門医ではない,GP&HP,1500,23.0,6.0,13.0,0.0,2.0,0.0,0.0,1,1,2,1.0,no,2,5,1
6,山本 花子,0.0,0.0,68,男,専門医ではない,GP,1300,1.0,7.0,18.0,0.0,0.0,1.0,0.0,0,0,0,1.0,,6,3,0
7,佐藤 美咲,0.0,1.0,68,男,専門医,GP&HP,1700,1.0,8.0,8.0,0.0,1.0,0.0,0.0,0,0,0,2.0,yes,3,3,0
8,高橋 花子,0.0,1.0,53,女,専門医ではない,HP,1600,1.0,0.0,14.0,0.0,1.0,2.0,0.0,1,7,3,2.0,yes,4,2,0
9,田中 翔,0.0,1.0,35,男,専門医ではない,HP,1900,13.0,13.0,4.0,0.0,0.0,1.0,0.0,1,1,0,10.0,no,4,3,0
10,佐藤 大輔,0.0,,70,男,専門医ではない,GP,1300,6.0,7.0,11.0,0.0,1.0,0.0,0.0,0,0,1,3.0,no,3,2,0
11,渡辺 美咲,0.0,,39,男,専門医,HP,1400,4.0,4.0,8.0,0.0,0.0,1.0,0.0,0,1,2,1.0,no,4,8,0
12,山本 花子,1.0,1.0,77,男,専門医ではない,HP,1100,15.0,8.0,14.0,1.0,0.0,0.0,0.0,14,1,1,6.0,no,5,4,1
13,佐藤 彩,0.0,0.0,37,男,専門医,HP,1300,12.0,9.0,24.0,0.0,0.0,1.0,0.0,2,1,5,5.0,no,1,1,1
14,鈴木 太郎,0.0,0.0,61,男,専門医ではない,GP,1300,6.0,14.0,7.0,1.0,2.0,1.0,1.0,0,0,1,4.0,no,3,2,0
15,佐藤 一郎,0.0,1.0,29,男,専門医ではない,GP&HP,2800,3.0,15.0,16.0,0.0,1.0,0.0,0.0,0,2,1,5.0,no,1,3,0
16,佐藤 大輔,0.0,1.0,55,男,専門医ではない,GP,2200,3.0,9.0,2.0,0.0,0.0,1.0,0.0,0,0,0,0.0,no,6,4,0
17,渡辺 結衣,0.0,0.0,49,男,専門医ではない,GP&HP,1300,9.0,2.0,23.0,0.0,1.0,1.0,0.0,0,1,1,10.0,no,4,0,0
18,田中 美咲,0.0,0.0,69,男,専門医ではない,GP,1100,3.0,6.0,23.0,0.0,1.0,0.0,0.0,0,0,0,3.0,yes,3,4,0
19,渡辺 彩,0.0,0.0,29,男,専門医ではない,GP,2400,10.0,3.0,13.0,1.0,1.0,1.0,1.0,1,1,0,2.0,yes,1,5,1
20,中村 優子,0.0,1.0,58,男,専門医,HP,1600,11.0,0.0,20.0,1.0,2.0,0.0,1.0,0,0,6,2.0,no,5,4,0
21,田中 優子,0.0,1.0,69,男,専門医ではない,GP,2100,10.0,2.0,11.0,0.0,1.0,0.0,0.0,4,3,0,1.0,no,3,1,0
